38300.0
22100.0
3588380.010590858416945374
2333180.007715387912558937
73400.0
383 00.0
221 00.0
3588 380.010590858416945374
2333 180.007715387912558937
734 00.0
383 0 0.0
221 0 0.0
3588 38 0.010590858416945374
2333 18 0.007715387912558937
734 0 0.0
383 0 0.0
221 0 0.0
3588 38 0.010590858416945374
2333 18 0.007715387912558937
734 0 0.0
383 0 0.0
221 0 0.0
3588 38 0.010590858416945374
2333 18 0.007715387912558937
734 0 0.0
383 0 0.0
221 0 0.0
3588 38 0.010590858416945374
2333 18 0.007715387912558937
734 0 0.0
383 0 0.0
221 0 0.0
3588 38 0.010590858416945374
2333 18 0.007715387912558937
734 0 0.0
383 0 0.0
221 0 0.0
3588 38 0.010590858416945374
2333 18 0.007715387912558937
734 0 0.0
383 0 0.0
221 0 0.0
3588 38 0.010590858416945374
2333 18 0.007715387912558937
734 0 0.0
437 0 0.0
262 0 0.0
4320 38 0.008796296296296297
2617 18 0.006878104700038212
806 0 0.0
383 0 0.0
221 0 0.0
3588 38 0.010590858416945374
2333 18 0.007715387912558937
734 0 0.0
383 0 0.0
221 0 0.0
3588 38 0.010590858416945374
2333 18 0.007715387912558937
734 0 0.0
266 0 0.0
95 0 0.0
2211 22 0.009950248756218905
728 13 0.017857142857142856
544 0 0.0
266 0 0.0
95 0 0.0
2211 22 0.009950248756218905
728 13 0.017857142857142856
544 0 0.0
266 0 0.0
68 0 0.0
2211 22 0.009950248756218905
728 13 0.017857142857142856
544 0 0.0
266 0 0.0
95 0 0.0
2211 22 0.009950248756218905
728 13 0.017857142857142856
544 0 0.0
266 0 0.0
95 0 0.0
2211 22 0.009950248756218905
728 13 0.017857142857142856
544 0 0.0
266 0 0.0
88 0 0.0
2211 22 0.009950248756218905
728 13 0.017857142857142856
544 0 0.0
266 0 0.0
88 0 0.0
2211 22 0.009950248756218905
728 13 0.017857142857142856
544 0 0.0
266 0 0.0
68 0 0.0
2211 22 0.009950248756218905
728 13 0.017857142857142856
544 0 0.0
266 0 0.0
84 0 0.0
2211 22 0.009950248756218905
728 13 0.017857142857142856
544 0 0.0
266 0 0.0
84 0 0.0
2211 22 0.009950248756218905
728 13 0.017857142857142856
544 0 0.0
306 0 0.0
88 0 0.0
2417 22 0.009102192800992967
841 13 0.015457788347205707
587 0 0.0
306 0 0.0
88 0 0.0
2417 22 0.009102192800992967
841 13 0.015457788347205707
587 0 0.0
288 0 0.0
82 0 0.0
2433 37 0.015207562679819153
899 17 0.018909899888765295
621 0 0.0
306 0 0.0
88 0 0.0
2417 22 0.009102192800992967
841 13 0.015457788347205707
587 0 0.0
305 0 0.0
88 0 0.0
2415 22 0.009109730848861283
841 13 0.015457788347205707
587 0 0.0
305 0 0.0
88 0 0.0
2419 22 0.009094667217858619
845 13 0.015384615384615385
587 0 0.0
1 0 0.0
306 0 0.0
88 0 0.0
2417 22 0.009102192800992967
841 13 0.015457788347205707
587 0 0.0
306 0 0.0
88 0 0.0
2421 22 0.009087154068566708
845 13 0.015384615384615385
587 0 0.0
305 0 0.0
88 0 0.0
2419 22 0.009094667217858619
845 13 0.015384615384615385
587 0 0.0
343 0 0.0
105 0 0.0
2957 22 0.0074399729455529254
1069 13 0.01216089803554724
652 0 0.0
265 0 0.0
84 0 0.0
2225 22 0.009887640449438202
740 13 0.01756756756756757
544 0 0.0
265 0 0.0
84 0 0.0
2225 22 0.009887640449438202
740 13 0.01756756756756757
544 0 0.0
265 0 0.0
68 0 0.0
2225 22 0.009887640449438202
740 13 0.01756756756756757
544 0 0.0
85 0 0.0
78 0 0.0
78 0 0.0
78 0 0.0
78 0 0.0
46 0 0.0
186 0 0.0
52 0 0.0
1630 38 0.023312883435582823
571 18 0.03152364273204904
275 0 0.0
